行号,标签名,路径,疑似问题
693,有限的,V2融合世界标签体系/通用分类标签/交通工具/公共运输/有限的,形容词误作节点
905,机动+的,V2融合世界标签体系/通用分类标签/交通工具/机动+的,含'+'残留符号;形容词误作节点
926,汽车的,V2融合世界标签体系/通用分类标签/交通工具/汽车的,形容词误作节点
966,破损的,V2融合世界标签体系/通用分类标签/交通工具/破损的,形容词误作节点
1250,一件,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/手枪/一件,量词/数字误作节点
1253,二十二,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/手枪/一件/二十二,量词/数字误作节点
1920,无家可归的,V2融合世界标签体系/通用分类标签/人物与人体/不幸的人/无家可归的,形容词误作节点
1953,干燥的,V2融合世界标签体系/通用分类标签/人物与人体/争论者/改革者/干燥的,形容词误作节点
1973,上升的,V2融合世界标签体系/通用分类标签/人物与人体/亲属/上升的,形容词误作节点
2317,家用的,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/仆人/家用的,形容词误作节点
2340,可爱的,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/助手/模型/摄影模特/可爱的,形容词误作节点
2549,古代的,V2融合世界标签体系/通用分类标签/人物与人体/古代的,形容词误作节点
2578,国家的,V2融合世界标签体系/通用分类标签/人物与人体/国家的,形容词误作节点
2665,古代的,V2融合世界标签体系/通用分类标签/人物与人体/大人/老人/古代的,形容词误作节点
2721,尼格罗人种的,V2融合世界标签体系/通用分类标签/人物与人体/尼格罗人种的,形容词误作节点
2728,乡村风格的,V2融合世界标签体系/通用分类标签/人物与人体/平民/乡村风格的,形容词误作节点
2762,自然的,V2融合世界标签体系/通用分类标签/人物与人体/成功人士/自然的,形容词误作节点
2915,武装的,V2融合世界标签体系/通用分类标签/人物与人体/武装的,形容词误作节点
2916,死亡的,V2融合世界标签体系/通用分类标签/人物与人体/死亡的,形容词误作节点
2962,现代的,V2融合世界标签体系/通用分类标签/人物与人体/现代的,形容词误作节点
2999,浪漫的,V2融合世界标签体系/通用分类标签/人物与人体/空想家/理想主义者/浪漫的,形容词误作节点
7015,一把夹钳,V2融合世界标签体系/通用分类标签/人造物体/一把夹钳,量词/数字误作节点
7166,赤道的,V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/科学仪器/放大器/望远镜/赤道的,形容词误作节点
7434,一把剪刀,V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具/一把剪刀,量词/数字误作节点
7610,一块布,V2融合世界标签体系/通用分类标签/人造物体/台布/一块布,量词/数字误作节点
7778,金属质的,V2融合世界标签体系/通用分类标签/人造物体/台布/金属质的,形容词误作节点
7780,防水的,V2融合世界标签体系/通用分类标签/人造物体/台布/防水的,形容词误作节点
7789,黑白杂色的,V2融合世界标签体系/通用分类标签/人造物体/台布/黑白杂色的,形容词误作节点
7810,基础的,V2融合世界标签体系/通用分类标签/人造物体/商品/基础的,形容词误作节点
7876,无肩带的,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/女服/无肩带的,形容词误作节点
8021,防水的,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/防水的,形容词误作节点
8350,一把剪刀,V2融合世界标签体系/通用分类标签/人造物体/器具/棒/杠杆/复式杠杆/一把剪刀,量词/数字误作节点
8356,一把手钳,V2融合世界标签体系/通用分类标签/人造物体/器具/棒/杠杆/复式杠杆/一把手钳,量词/数字误作节点
8429,一把手钳,V2融合世界标签体系/通用分类标签/人造物体/固定装置/一把手钳,量词/数字误作节点
8562,无线的,V2融合世界标签体系/通用分类标签/人造物体/媒介/电信/无线的,形容词误作节点
9077,一块地板,V2融合世界标签体系/通用分类标签/人造物体/扁平立体/板/一块地板,量词/数字误作节点
9113,一把手钳,V2融合世界标签体系/通用分类标签/人造物体/手工工具/一把手钳,量词/数字误作节点
9115,一把钳子,V2融合世界标签体系/通用分类标签/人造物体/手工工具/一把钳子,量词/数字误作节点
9946,一件,V2融合世界标签体系/通用分类标签/人造物体/游戏器材/一件,量词/数字误作节点
10942,无肩带的,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/女服/无肩带的,形容词误作节点
11087,防水的,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/防水的,形容词误作节点
12317,有胎盘的,V2融合世界标签体系/通用分类标签/动物/哺乳动物/有胎盘的,形容词误作节点
13397,扁平的,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/软鳍鱼/鲤形目鱼类/上层鳉鱼/扁平的,形容词误作节点
14061,忧郁的,V2融合世界标签体系/通用分类标签/动物/鸟类/家禽/原鸡/小鸡/忧郁的,形容词误作节点
14594,具龙骨突的,V2融合世界标签体系/通用分类标签/动物/鸟类/具龙骨突的,形容词误作节点
15480,武装的,V2融合世界标签体系/通用分类标签/动物/武装的,形容词误作节点
15686,新娘的,V2融合世界标签体系/通用分类标签/场景/宗教庆典场景/婚礼/新娘的,形容词误作节点
16603,室外+的,V2融合世界标签体系/通用分类标签/场景/室外+的,含'+'残留符号;形容词误作节点
18550,有光泽的,V2融合世界标签体系/通用分类标签/文化艺术与媒介/文学出版/杂志/有光泽的,形容词误作节点
18717,一件,V2融合世界标签体系/通用分类标签/文化艺术与媒介/一件,量词/数字误作节点
18905,政治+的,V2融合世界标签体系/通用分类标签/文化艺术与媒介/政治+的,含'+'残留符号;形容词误作节点
19026,破损的,V2融合世界标签体系/通用分类标签/文化艺术与媒介/破损的,形容词误作节点
19853,有纹理的,V2融合世界标签体系/通用分类标签/文字与信息图形/有纹理的,形容词误作节点
19945,印欧语系的,V2融合世界标签体系/通用分类标签/文字与信息图形/自然语言/印欧语系的,形容词误作节点
19950,日耳曼的,V2融合世界标签体系/通用分类标签/文字与信息图形/自然语言/印欧语系的/日耳曼的,形容词误作节点
21591,常绿的,V2融合世界标签体系/通用分类标签/植物/常绿的,形容词误作节点
22206,花+的,V2融合世界标签体系/通用分类标签/植物/花+的,含'+'残留符号;形容词误作节点
22232,一把抓,V2融合世界标签体系/通用分类标签/植物/草本植物/一把抓,量词/数字误作节点
24116,僵硬的,V2融合世界标签体系/通用分类标签/自然景观/僵硬的,形容词误作节点
24131,中空的,V2融合世界标签体系/通用分类标签/自然景观/凹陷地/中空的,形容词误作节点
24165,多雨的,V2融合世界标签体系/通用分类标签/自然景观/多雨的,形容词误作节点
24286,晴朗的,V2融合世界标签体系/通用分类标签/自然景观/晴朗的,形容词误作节点
24288,暴风雨的,V2融合世界标签体系/通用分类标签/自然景观/暴风雨的,形容词误作节点
25746,一双,V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/一双,量词/数字误作节点
25747,一双,V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/一双/一双,量词/数字误作节点
25763,善于交际的,V2融合世界标签体系/通用分类标签/行为动作/社交互动动作/聚会/善于交际的,形容词误作节点
27794,一条面包,V2融合世界标签体系/通用分类标签/食物/烘焙甜品点心/面包/一条面包,量词/数字误作节点
28940,特别的,V2融合世界标签体系/通用分类标签/食物/一道菜/特别的,形容词误作节点
29145,寒冷的,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/茄科蔬菜/胡椒/辣椒/寒冷的,形容词误作节点
29385,脆的,V2融合世界标签体系/通用分类标签/食物/摩托人力车/甜食/糖制食品/脆的,形容词误作节点
29675,苦味的,V2融合世界标签体系/通用分类标签/食物/致醉物/酿造饮料/啤酒/艾尔啤酒/苦味的,形容词误作节点
30232,七十八,V2融合世界标签体系/通用分类标签/声音/圆盘/七十八,量词/数字误作节点
30736,下阵雨+的,V2融合世界标签体系/通用分类标签/属性与状态/下阵雨+的,含'+'残留符号;形容词误作节点
30737,不一样+的,V2融合世界标签体系/通用分类标签/属性与状态/不一样+的,含'+'残留符号;形容词误作节点
30743,不同+的,V2融合世界标签体系/通用分类标签/属性与状态/不同+的,含'+'残留符号;形容词误作节点
30745,不愉快+的,V2融合世界标签体系/通用分类标签/属性与状态/不愉快+的,含'+'残留符号;形容词误作节点
30746,不松动+的,V2融合世界标签体系/通用分类标签/属性与状态/不松动+的,含'+'残留符号;形容词误作节点
30747,不清晰的,V2融合世界标签体系/通用分类标签/属性与状态/不清晰的,形容词误作节点
30751,专业+的,V2融合世界标签体系/通用分类标签/属性与状态/专业+的,含'+'残留符号;形容词误作节点
30763,中世纪+的,V2融合世界标签体系/通用分类标签/属性与状态/中世纪+的,含'+'残留符号;形容词误作节点
30764,中世纪的,V2融合世界标签体系/通用分类标签/属性与状态/中世纪的,形容词误作节点
30767,丰富多彩的,V2融合世界标签体系/通用分类标签/属性与状态/丰富多彩的,形容词误作节点
30768,乌色+的,V2融合世界标签体系/通用分类标签/属性与状态/乌色+的,含'+'残留符号;形容词误作节点
30769,乡下+的,V2融合世界标签体系/通用分类标签/属性与状态/乡下+的,含'+'残留符号;形容词误作节点
30770,乡下+的,V2融合世界标签体系/通用分类标签/属性与状态/乡下+的,含'+'残留符号;形容词误作节点
30771,乡下+的,V2融合世界标签体系/通用分类标签/属性与状态/乡下+的,含'+'残留符号;形容词误作节点
30772,乡土+的,V2融合世界标签体系/通用分类标签/属性与状态/乡土+的,含'+'残留符号;形容词误作节点
30779,五彩缤纷+的,V2融合世界标签体系/通用分类标签/属性与状态/五彩缤纷+的,含'+'残留符号;形容词误作节点
30780,产业+的,V2融合世界标签体系/通用分类标签/属性与状态/产业+的,含'+'残留符号;形容词误作节点
30803,仅仅+的,V2融合世界标签体系/通用分类标签/属性与状态/仅仅+的,含'+'残留符号;形容词误作节点
30804,令人惊叹的,V2融合世界标签体系/通用分类标签/属性与状态/令人惊叹的,形容词误作节点
30805,令人惊叹的,V2融合世界标签体系/通用分类标签/属性与状态/令人惊叹的,形容词误作节点
30806,令人惊叹的,V2融合世界标签体系/通用分类标签/属性与状态/令人惊叹的,形容词误作节点
30807,令人惊叹的,V2融合世界标签体系/通用分类标签/属性与状态/令人惊叹的,形容词误作节点
30813,传统+的,V2融合世界标签体系/通用分类标签/属性与状态/传统+的,含'+'残留符号;形容词误作节点
30815,体育+的,V2融合世界标签体系/通用分类标签/属性与状态/体育+的,含'+'残留符号;形容词误作节点
30820,健壮的,V2融合世界标签体系/通用分类标签/属性与状态/健壮的,形容词误作节点
30822,充足+的,V2融合世界标签体系/通用分类标签/属性与状态/充足+的,含'+'残留符号;形容词误作节点
30823,光秃+的,V2融合世界标签体系/通用分类标签/属性与状态/光秃+的,含'+'残留符号;形容词误作节点
30824,全景的,V2融合世界标签体系/通用分类标签/属性与状态/全景的,形容词误作节点
30832,具有城市特征+的,V2融合世界标签体系/通用分类标签/属性与状态/具有城市特征+的,含'+'残留符号;形容词误作节点
30835,冰冷+的,V2融合世界标签体系/通用分类标签/属性与状态/冰冷+的,含'+'残留符号;形容词误作节点
30847,医学+的,V2融合世界标签体系/通用分类标签/属性与状态/医学+的,含'+'残留符号;形容词误作节点
30848,华丽的,V2融合世界标签体系/通用分类标签/属性与状态/华丽的,形容词误作节点
30851,历史+的,V2融合世界标签体系/通用分类标签/属性与状态/历史+的,含'+'残留符号;形容词误作节点
30852,历史+的,V2融合世界标签体系/通用分类标签/属性与状态/历史+的,含'+'残留符号;形容词误作节点
30853,厚+的,V2融合世界标签体系/通用分类标签/属性与状态/厚+的,含'+'残留符号;形容词误作节点
30856,双目+的,V2融合世界标签体系/通用分类标签/属性与状态/双目+的,含'+'残留符号;形容词误作节点
30857,发怒+的,V2融合世界标签体系/通用分类标签/属性与状态/发怒+的,含'+'残留符号;形容词误作节点
30858,古老+的,V2融合世界标签体系/通用分类标签/属性与状态/古老+的,含'+'残留符号;形容词误作节点
30860,可爱+的,V2融合世界标签体系/通用分类标签/属性与状态/可爱+的,含'+'残留符号;形容词误作节点
30861,可爱的,V2融合世界标签体系/通用分类标签/属性与状态/可爱的,形容词误作节点
30862,可转换的,V2融合世界标签体系/通用分类标签/属性与状态/可转换的,形容词误作节点
30863,可转换的,V2融合世界标签体系/通用分类标签/属性与状态/可转换的,形容词误作节点
30865,含糊的,V2融合世界标签体系/通用分类标签/属性与状态/含糊的,形容词误作节点
30905,在水下+的,V2融合世界标签体系/通用分类标签/属性与状态/在水下+的,含'+'残留符号;形容词误作节点
30907,地理的,V2融合世界标签体系/通用分类标签/属性与状态/地理的,形容词误作节点
30908,坏的,V2融合世界标签体系/通用分类标签/属性与状态/坏的,形容词误作节点
30911,坚固+的,V2融合世界标签体系/通用分类标签/属性与状态/坚固+的,含'+'残留符号;形容词误作节点
30912,坚固+的,V2融合世界标签体系/通用分类标签/属性与状态/坚固+的,含'+'残留符号;形容词误作节点
30937,外面的,V2融合世界标签体系/通用分类标签/属性与状态/外面的,形容词误作节点
30941,多岩石的,V2融合世界标签体系/通用分类标签/属性与状态/多岩石的,形容词误作节点
30943,多雪的,V2融合世界标签体系/通用分类标签/属性与状态/多雪的,形容词误作节点
30944,多雪的,V2融合世界标签体系/通用分类标签/属性与状态/多雪的,形容词误作节点
