标签名,出现次数,位置(行号:路径)
头巾,10,6058:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/帽子/女帽/头巾 || 7844:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/头巾 || 7980:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/围巾/头巾 || 7981:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/围巾/头巾 || 7982:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/围巾/头巾/头巾 || 9735:V2融合世界标签体系/通用分类标签/人造物体/条带/乐队/头巾 || 10910:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/头巾 || 11046:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/围巾/头巾 || 11047:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/围巾/头巾 || 11048:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/围巾/头巾/头巾
修道院,9,17063:V2融合世界标签体系/通用分类标签/建筑与基础设施/宗教祭祀建筑/教堂/修道院 || 17403:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所/修道院回廊/修道院 || 17404:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所/修道院回廊/修道院/修道院 || 17405:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所/修道院回廊/修道院 || 17406:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所/修道院回廊/修道院/修道院 || 17477:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊/修道院 || 17478:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊/修道院/修道院 || 17479:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊/修道院 || 17480:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所/修道院回廊/修道院/修道院
屏幕,9,10325:V2融合世界标签体系/通用分类标签/人造物体/电子器件/指示器/屏幕 || 10326:V2融合世界标签体系/通用分类标签/人造物体/电子器件/指示器/屏幕 || 10629:V2融合世界标签体系/通用分类标签/人造物体/表面/屏幕 || 10793:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/屏幕 || 10798:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/屏幕 || 11291:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/屏幕 || 11443:V2融合世界标签体系/通用分类标签/人造物体/过滤器/滤网/屏幕 || 17571:V2融合世界标签体系/通用分类标签/建筑与基础设施/分隔物/屏幕 || 18317:V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/屏障/可移动屏障/门/屏幕
兜帽,8,2593:V2融合世界标签体系/通用分类标签/人物与人体/坏人/作恶者/校长/犯人/兜帽 || 7832:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/兜帽 || 7833:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/兜帽/兜帽 || 10762:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/兜帽 || 10764:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/兜帽 || 10859:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/兜帽 || 10898:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/兜帽 || 10899:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/兜帽/兜帽
内裤,8,7958:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内裤 || 7961:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内裤/内裤 || 7962:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内裤/内裤 || 7963:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/内裤/内裤 || 11024:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内裤 || 11027:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内裤/内裤 || 11028:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内裤/内裤 || 11029:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/内裤/内裤
水龙头,8,8418:V2融合世界标签体系/通用分类标签/人造物体/固定物/卫生洁具/水龙头 || 9460:V2融合世界标签体系/通用分类标签/人造物体/机制/控制/调节器/水龙头 || 9462:V2融合世界标签体系/通用分类标签/人造物体/机制/控制/调节器/水龙头/水龙头 || 9853:V2融合世界标签体系/通用分类标签/人造物体/水龙头 || 11559:V2融合世界标签体系/通用分类标签/人造物体/道路/通道/导管/管/滚边/排放管/水龙头 || 18280:V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/堵塞/塞子/水龙头 || 29966:V2融合世界标签体系/通用分类标签/声音/事物声音/家庭声音/水龙头 || 30389:V2融合世界标签体系/通用分类标签/声音/来源不明声音/通用撞击声/水龙头
裸露,8,19146:V2融合世界标签体系/通用分类标签/文化艺术与媒介/裸露 || 31232:V2融合世界标签体系/通用分类标签/属性与状态/裸露 || 31233:V2融合世界标签体系/通用分类标签/属性与状态/裸露 || 31234:V2融合世界标签体系/通用分类标签/属性与状态/裸露 || 31236:V2融合世界标签体系/通用分类标签/属性与状态/裸露 || 31237:V2融合世界标签体系/通用分类标签/属性与状态/裸露 || 31238:V2融合世界标签体系/通用分类标签/属性与状态/裸露 || 31595:V2融合世界标签体系/通用分类标签/时间数量与度量/裸露
住所,7,2212:V2融合世界标签体系/通用分类标签/人物与人体/住所 || 9232:V2融合世界标签体系/通用分类标签/人造物体/挖掘/住所 || 16622:V2融合世界标签体系/通用分类标签/场景/栖息地/住所 || 17398:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所 || 17401:V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/住所 || 17472:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所 || 17475:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/住所
停车标志,7,19859:V2融合世界标签体系/通用分类标签/文字与信息图形/标志/交通标志/停车标志 || 19860:V2融合世界标签体系/通用分类标签/文字与信息图形/标志/交通标志/停车标志 || 19861:V2融合世界标签体系/通用分类标签/文字与信息图形/标志/交通标志/停车标志 || 19863:V2融合世界标签体系/通用分类标签/文字与信息图形/标志/停车标志 || 19872:V2融合世界标签体系/通用分类标签/文字与信息图形/标志/道路标志/交通标志/停车标志 || 19873:V2融合世界标签体系/通用分类标签/文字与信息图形/标志/道路标志/交通标志/停车标志 || 19874:V2融合世界标签体系/通用分类标签/文字与信息图形/标志/道路标志/交通标志/停车标志
写,7,18786:V2融合世界标签体系/通用分类标签/文化艺术与媒介/写 || 26149:V2融合世界标签体系/通用分类标签/行为动作/写 || 26150:V2融合世界标签体系/通用分类标签/行为动作/写 || 26151:V2融合世界标签体系/通用分类标签/行为动作/写 || 26153:V2融合世界标签体系/通用分类标签/行为动作/写 || 26154:V2融合世界标签体系/通用分类标签/行为动作/写 || 26155:V2融合世界标签体系/通用分类标签/行为动作/写
壳,7,808:V2融合世界标签体系/通用分类标签/交通工具/容器/小船/小船/竞赛艇/壳 || 10754:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/住房/壳 || 10833:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/盾牌/壳 || 24204:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/壳 || 24205:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/壳 || 24208:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/容器盒/壳 || 32860:V2融合世界标签体系/IP 分类标签/地标与武器 IP/武器/军火/壳
头部,7,1358:V2融合世界标签体系/通用分类标签/人物与人体/人体部位/头部 || 2046:V2融合世界标签体系/通用分类标签/人物与人体/会长/头部 || 9103:V2融合世界标签体系/通用分类标签/人造物体/扁平立体/膜/头部 || 15102:V2融合世界标签体系/通用分类标签/动物/家养动物/头部 || 17867:V2融合世界标签体系/通用分类标签/建筑与基础设施/头部 || 17942:V2融合世界标签体系/通用分类标签/建筑与基础设施/投影/头部 || 32096:V2融合世界标签体系/通用分类标签/知识与学科/头部
容器,7,762:V2融合世界标签体系/通用分类标签/交通工具/容器 || 2766:V2融合世界标签体系/通用分类标签/人物与人体/所有者/容器 || 8593:V2融合世界标签体系/通用分类标签/人造物体/容器 || 8773:V2融合世界标签体系/通用分类标签/人造物体/容器/容器 || 8790:V2融合世界标签体系/通用分类标签/人造物体/容器/容器 || 18213:V2融合世界标签体系/通用分类标签/建筑与基础设施/管/容器 || 32425:V2融合世界标签体系/通用分类标签/知识与学科/配件/配件/容器
工作服,7,6177:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/工作服 || 7884:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/工作服 || 7885:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/工作服/工作服 || 8165:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/防护服装/工作服 || 10950:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/工作服 || 10951:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/工作服/工作服 || 11231:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/防护服装/工作服
木材,7,3267:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/管乐器/木材 || 7285:V2融合世界标签体系/通用分类标签/人造物体/体育器材/棒球器材/木材 || 7300:V2融合世界标签体系/通用分类标签/人造物体/体育器材/高尔夫器材/俱乐部/木材 || 8288:V2融合世界标签体系/通用分类标签/人造物体/器具/木条/俱乐部/板球棒/木材 || 9365:V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/垂直方向/柱子/木材 || 9383:V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/栋梁/木材 || 29979:V2融合世界标签体系/通用分类标签/声音/事物声音/木材
电钻,7,5544:V2融合世界标签体系/通用分类标签/人造物体/工业机械设备/电钻 || 7519:V2融合世界标签体系/通用分类标签/人造物体/动力工具/电钻 || 7520:V2融合世界标签体系/通用分类标签/人造物体/动力工具/电钻/电钻 || 9632:V2融合世界标签体系/通用分类标签/人造物体/机器/动力工具/电钻 || 9633:V2融合世界标签体系/通用分类标签/人造物体/机器/动力工具/电钻/电钻 || 11609:V2融合世界标签体系/通用分类标签/人造物体/钻/电钻 || 11610:V2融合世界标签体系/通用分类标签/人造物体/钻/电钻/电钻
T恤,6,8098:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/衬衣/T恤 || 8099:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/衬衣/T恤 || 8100:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/衬衣/T恤 || 11164:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/衬衣/T恤 || 11165:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/衬衣/T恤 || 11166:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/衬衣/T恤
亚麻,6,7657:V2融合世界标签体系/通用分类标签/人造物体/台布/亚麻 || 20711:V2融合世界标签体系/通用分类标签/植物/农作物/亚麻 || 22272:V2融合世界标签体系/通用分类标签/植物/草本植物/亚麻 || 22273:V2融合世界标签体系/通用分类标签/植物/草本植物/亚麻 || 31754:V2融合世界标签体系/通用分类标签/材料与物质/天然纤维/天然纤维/植物纤维/亚麻 || 31817:V2融合世界标签体系/通用分类标签/材料与物质/植物材料/植物产品/植物纤维/亚麻
出生,6,2277:V2融合世界标签体系/通用分类标签/人物与人体/出生 || 2278:V2融合世界标签体系/通用分类标签/人物与人体/出生 || 18806:V2融合世界标签体系/通用分类标签/文化艺术与媒介/出生 || 23526:V2融合世界标签体系/通用分类标签/组织机构与社会事件/出生 || 26178:V2融合世界标签体系/通用分类标签/行为动作/出生 || 31391:V2融合世界标签体系/通用分类标签/时间数量与度量/关头/出生
千斤顶,6,7534:V2融合世界标签体系/通用分类标签/人造物体/千斤顶 || 9964:V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/千斤顶 || 10249:V2融合世界标签体系/通用分类标签/人造物体/电力设备/千斤顶 || 13356:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/鲹/千斤顶 || 29181:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/千斤顶 || 31349:V2融合世界标签体系/通用分类标签/时间数量与度量/不定量/少量/千斤顶
围巾,6,6150:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/围巾 || 7866:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/女服/围巾 || 7979:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/围巾 || 10932:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/女服/围巾 || 11045:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/围巾 || 11453:V2融合世界标签体系/通用分类标签/人造物体/连接/交汇处/关节/围巾
垃圾,6,739:V2融合世界标签体系/通用分类标签/交通工具/垃圾 || 8775:V2融合世界标签体系/通用分类标签/人造物体/容器/容器/垃圾 || 15508:V2融合世界标签体系/通用分类标签/动物/生物类群/动物组/垃圾 || 31740:V2融合世界标签体系/通用分类标签/材料与物质/垃圾 || 31741:V2融合世界标签体系/通用分类标签/材料与物质/垃圾/垃圾 || 31742:V2融合世界标签体系/通用分类标签/材料与物质/垃圾/垃圾
女夜礼服,6,7868:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/女服/女夜礼服 || 7870:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/女服/女夜礼服/女夜礼服 || 7914:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/夜礼服/女夜礼服 || 10934:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/女服/女夜礼服 || 10936:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/女服/女夜礼服/女夜礼服 || 10980:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/夜礼服/女夜礼服
演出,6,801:V2融合世界标签体系/通用分类标签/交通工具/容器/小船/小船/演出 || 8390:V2融合世界标签体系/通用分类标签/人造物体/器具/演出 || 23595:V2融合世界标签体系/通用分类标签/组织机构与社会事件/演出 || 26001:V2融合世界标签体系/通用分类标签/行为动作/休养/娱乐/演出 || 26013:V2融合世界标签体系/通用分类标签/行为动作/休养/娱乐/演出/演示/演出 || 26770:V2融合世界标签体系/通用分类标签/行为动作/演出
