行号,路径
774,V2融合世界标签体系/通用分类标签/交通工具/容器/大型帆船/大型帆船
794,V2融合世界标签体系/通用分类标签/交通工具/容器/小船/小船
797,V2融合世界标签体系/通用分类标签/交通工具/容器/小船/小船/划艇/划艇
998,V2融合世界标签体系/通用分类标签/交通工具/航空器/重于空气航空器/飞机/水上飞机/水上飞机
1084,V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/机动车/机动车
1229,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/刀/匕首/匕首
1282,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/手枪/一件/手枪/手枪
1530,V2融合世界标签体系/通用分类标签/人物与人体/性别与生理属性/女性/女人/女孩/女孩
1544,V2融合世界标签体系/通用分类标签/人物与人体/性别与生理属性/女性/女人/老妇人/老妇人
1924,V2融合世界标签体系/通用分类标签/人物与人体/专家/专家
1946,V2融合世界标签体系/通用分类标签/人物与人体/专家/调查员/侦探/侦探
1979,V2融合世界标签体系/通用分类标签/人物与人体/亲属/上升的/克制/祖父母/南饼/南饼
1991,V2融合世界标签体系/通用分类标签/人物与人体/亲属/亲属
2072,V2融合世界标签体系/通用分类标签/人物与人体/会长/立法者/立法者
2083,V2融合世界标签体系/通用分类标签/人物与人体/会长/精神领袖/牧师/牧师
2114,V2融合世界标签体系/通用分类标签/人物与人体/传播者/告密者/告密者
2115,V2融合世界标签体系/通用分类标签/人物与人体/传播者/告密者/告密者/告密者
2194,V2融合世界标签体系/通用分类标签/人物与人体/住户/美国人/北美人/中美洲人/墨西哥人/墨西哥人
2354,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体/军官/军官
2365,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体/军官/委任制军官/委任制军官
2414,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/厨师/厨师
2433,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/铁匠/铁匠
2617,V2融合世界标签体系/通用分类标签/人物与人体/外部身体部位/成员/手指/手指
2699,V2融合世界标签体系/通用分类标签/人物与人体/宗教人士/宗教人士
2757,V2融合世界标签体系/通用分类标签/人物与人体/感知者/旁观者/旁观者
2824,V2融合世界标签体系/通用分类标签/人物与人体/斗牛士/斗牛士
2910,V2融合世界标签体系/通用分类标签/人物与人体/植物过程/刺/刺
2929,V2融合世界标签体系/通用分类标签/人物与人体/注册者/受教育者/大学生/大学生
2958,V2融合世界标签体系/通用分类标签/人物与人体/爱人/爱人
2966,V2融合世界标签体系/通用分类标签/人物与人体/现金经手人/付款人/纳税人/纳税人
3048,V2融合世界标签体系/通用分类标签/人物与人体/表演者/表演者
3333,V2融合世界标签体系/通用分类标签/人造物体/五金工具/紧固件/别针/发卡/发卡
3434,V2融合世界标签体系/通用分类标签/人造物体/办公文具/书写工具/铅笔/铅笔
4023,V2融合世界标签体系/通用分类标签/人造物体/医疗器械/医疗仪器/外科器械/手术刀/手术刀
4282,V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/炊具/壶/壶
4294,V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/炊具/平底锅/平底锅
4348,V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/餐具/陶瓷餐具/杯/圣杯/圣杯
4376,V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/餐具/餐刀/餐刀
5164,V2融合世界标签体系/通用分类标签/人造物体/家用电器/大型白色家电/冰箱/冰箱
6903,V2融合世界标签体系/通用分类标签/人造物体/箱包首饰/珠宝首饰/别针/别针
7054,V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/仪器/时计/怀表/怀表
