类型,行号,路径
空facet(无子节点),23405,V2融合世界标签体系/通用分类标签/组织机构与社会事件/互联网平台品牌类别—运行方式
空facet(无子节点),23418,V2融合世界标签体系/通用分类标签/组织机构与社会事件/农产品品牌类别—运行方式
空facet(无子节点),23423,V2融合世界标签体系/通用分类标签/组织机构与社会事件/农资品牌类别—运行方式
空facet(无子节点),23424,V2融合世界标签体系/通用分类标签/组织机构与社会事件/动漫作品IP类别—传播范围
空facet(无子节点),23425,V2融合世界标签体系/通用分类标签/组织机构与社会事件/动漫作品IP类别—呈现载体
空facet(无子节点),23430,V2融合世界标签体系/通用分类标签/组织机构与社会事件/奢侈品品牌类别—运行方式
空facet(无子节点),23435,V2融合世界标签体系/通用分类标签/组织机构与社会事件/家具家居品牌类别—运行方式
空facet(无子节点),23436,V2融合世界标签体系/通用分类标签/组织机构与社会事件/志怪角色类别—传播范围
空facet(无子节点),23437,V2融合世界标签体系/通用分类标签/组织机构与社会事件/志怪角色类别—呈现载体
空facet(无子节点),23438,V2融合世界标签体系/通用分类标签/组织机构与社会事件/戏曲角色类别—传播范围
空facet(无子节点),23439,V2融合世界标签体系/通用分类标签/组织机构与社会事件/戏曲角色类别—呈现载体
空facet(无子节点),23444,V2融合世界标签体系/通用分类标签/组织机构与社会事件/房地产物业品牌类别—运行方式
空facet(无子节点),23445,V2融合世界标签体系/通用分类标签/组织机构与社会事件/文物馆藏IP类别—传播范围
空facet(无子节点),23446,V2融合世界标签体系/通用分类标签/组织机构与社会事件/文物馆藏IP类别—呈现载体
空facet(无子节点),23447,V2融合世界标签体系/通用分类标签/组织机构与社会事件/桌游卡牌IP类别—传播范围
空facet(无子节点),23448,V2融合世界标签体系/通用分类标签/组织机构与社会事件/桌游卡牌IP类别—呈现载体
空facet(无子节点),23449,V2融合世界标签体系/通用分类标签/组织机构与社会事件/游戏作品IP类别—传播范围
空facet(无子节点),23450,V2融合世界标签体系/通用分类标签/组织机构与社会事件/游戏作品IP类别—呈现载体
空facet(无子节点),23451,V2融合世界标签体系/通用分类标签/组织机构与社会事件/潮玩手办IP类别—传播范围
空facet(无子节点),23452,V2融合世界标签体系/通用分类标签/组织机构与社会事件/潮玩手办IP类别—呈现载体
空facet(无子节点),23457,V2融合世界标签体系/通用分类标签/组织机构与社会事件/珠宝腕表品牌类别—运行方式
空facet(无子节点),23458,V2融合世界标签体系/通用分类标签/组织机构与社会事件/电子竞技IP类别—传播范围
空facet(无子节点),23459,V2融合世界标签体系/通用分类标签/组织机构与社会事件/电子竞技IP类别—呈现载体
空facet(无子节点),23460,V2融合世界标签体系/通用分类标签/组织机构与社会事件/绘本角色类别—传播范围
空facet(无子节点),23461,V2融合世界标签体系/通用分类标签/组织机构与社会事件/绘本角色类别—呈现载体
空facet(无子节点),23462,V2融合世界标签体系/通用分类标签/组织机构与社会事件/网络创作者类别—传播范围
空facet(无子节点),23463,V2融合世界标签体系/通用分类标签/组织机构与社会事件/网络创作者类别—呈现载体
空facet(无子节点),23468,V2融合世界标签体系/通用分类标签/组织机构与社会事件/美妆品牌类别—运行方式
空facet(无子节点),23469,V2融合世界标签体系/通用分类标签/组织机构与社会事件/萌宠形象IP类别—传播范围
空facet(无子节点),23470,V2融合世界标签体系/通用分类标签/组织机构与社会事件/萌宠形象IP类别—呈现载体
空facet(无子节点),23471,V2融合世界标签体系/通用分类标签/组织机构与社会事件/著名武器IP类别—传播范围
空facet(无子节点),23472,V2融合世界标签体系/通用分类标签/组织机构与社会事件/著名武器IP类别—呈现载体
空facet(无子节点),23473,V2融合世界标签体系/通用分类标签/组织机构与社会事件/超级英雄角色类别—传播范围
空facet(无子节点),23474,V2融合世界标签体系/通用分类标签/组织机构与社会事件/超级英雄角色类别—呈现载体
空facet(无子节点),23479,V2融合世界标签体系/通用分类标签/组织机构与社会事件/软件品牌类别—运行方式
空facet(无子节点),23484,V2融合世界标签体系/通用分类标签/组织机构与社会事件/零售电商品牌类别—运行方式
空facet(无子节点),23485,V2融合世界标签体系/通用分类标签/组织机构与社会事件/音乐作品IP类别—传播范围
空facet(无子节点),23486,V2融合世界标签体系/通用分类标签/组织机构与社会事件/音乐作品IP类别—呈现载体
空facet(无子节点),23487,V2融合世界标签体系/通用分类标签/组织机构与社会事件/风景地标IP类别—传播范围
空facet(无子节点),23488,V2融合世界标签体系/通用分类标签/组织机构与社会事件/风景地标IP类别—呈现载体
facet父节点与实体名不一致,462,V2融合世界标签体系/通用分类标签/交通工具/陆地民用车辆/SUV/运动型多用途车—观察方式
facet父节点与实体名不一致,466,V2融合世界标签体系/通用分类标签/交通工具/陆地民用车辆/SUV/运动型多用途车—运行状态
facet父节点与实体名不一致,18693,V2融合世界标签体系/通用分类标签/文化艺术与媒介/影视作品IP类别—传播范围
facet父节点与实体名不一致,18697,V2融合世界标签体系/通用分类标签/文化艺术与媒介/影视作品IP类别—呈现载体
facet父节点与实体名不一致,18701,V2融合世界标签体系/通用分类标签/文化艺术与媒介/文学作品IP类别—传播范围
facet父节点与实体名不一致,18705,V2融合世界标签体系/通用分类标签/文化艺术与媒介/文学作品IP类别—呈现载体
facet父节点与实体名不一致,18709,V2融合世界标签体系/通用分类标签/文化艺术与媒介/文学角色类别—传播范围
facet父节点与实体名不一致,18713,V2融合世界标签体系/通用分类标签/文化艺术与媒介/文学角色类别—呈现载体
facet父节点与实体名不一致,23401,V2融合世界标签体系/通用分类标签/组织机构与社会事件/互联网平台品牌类别—组织范围
facet父节点与实体名不一致,23405,V2融合世界标签体系/通用分类标签/组织机构与社会事件/互联网平台品牌类别—运行方式
facet父节点与实体名不一致,23406,V2融合世界标签体系/通用分类标签/组织机构与社会事件/体育赛事IP类别—传播范围
facet父节点与实体名不一致,23410,V2融合世界标签体系/通用分类标签/组织机构与社会事件/体育赛事IP类别—呈现载体
facet父节点与实体名不一致,23414,V2融合世界标签体系/通用分类标签/组织机构与社会事件/农产品品牌类别—组织范围
facet父节点与实体名不一致,23418,V2融合世界标签体系/通用分类标签/组织机构与社会事件/农产品品牌类别—运行方式
facet父节点与实体名不一致,23419,V2融合世界标签体系/通用分类标签/组织机构与社会事件/农资品牌类别—组织范围
facet父节点与实体名不一致,23423,V2融合世界标签体系/通用分类标签/组织机构与社会事件/农资品牌类别—运行方式
facet父节点与实体名不一致,23424,V2融合世界标签体系/通用分类标签/组织机构与社会事件/动漫作品IP类别—传播范围
facet父节点与实体名不一致,23425,V2融合世界标签体系/通用分类标签/组织机构与社会事件/动漫作品IP类别—呈现载体
facet父节点与实体名不一致,23426,V2融合世界标签体系/通用分类标签/组织机构与社会事件/奢侈品品牌类别—组织范围
facet父节点与实体名不一致,23430,V2融合世界标签体系/通用分类标签/组织机构与社会事件/奢侈品品牌类别—运行方式
facet父节点与实体名不一致,23431,V2融合世界标签体系/通用分类标签/组织机构与社会事件/家具家居品牌类别—组织范围
facet父节点与实体名不一致,23435,V2融合世界标签体系/通用分类标签/组织机构与社会事件/家具家居品牌类别—运行方式
facet父节点与实体名不一致,23436,V2融合世界标签体系/通用分类标签/组织机构与社会事件/志怪角色类别—传播范围
facet父节点与实体名不一致,23437,V2融合世界标签体系/通用分类标签/组织机构与社会事件/志怪角色类别—呈现载体
facet父节点与实体名不一致,23438,V2融合世界标签体系/通用分类标签/组织机构与社会事件/戏曲角色类别—传播范围
facet父节点与实体名不一致,23439,V2融合世界标签体系/通用分类标签/组织机构与社会事件/戏曲角色类别—呈现载体
facet父节点与实体名不一致,23440,V2融合世界标签体系/通用分类标签/组织机构与社会事件/房地产物业品牌类别—组织范围
facet父节点与实体名不一致,23444,V2融合世界标签体系/通用分类标签/组织机构与社会事件/房地产物业品牌类别—运行方式
facet父节点与实体名不一致,23445,V2融合世界标签体系/通用分类标签/组织机构与社会事件/文物馆藏IP类别—传播范围
facet父节点与实体名不一致,23446,V2融合世界标签体系/通用分类标签/组织机构与社会事件/文物馆藏IP类别—呈现载体
facet父节点与实体名不一致,23447,V2融合世界标签体系/通用分类标签/组织机构与社会事件/桌游卡牌IP类别—传播范围
facet父节点与实体名不一致,23448,V2融合世界标签体系/通用分类标签/组织机构与社会事件/桌游卡牌IP类别—呈现载体
facet父节点与实体名不一致,23449,V2融合世界标签体系/通用分类标签/组织机构与社会事件/游戏作品IP类别—传播范围
facet父节点与实体名不一致,23450,V2融合世界标签体系/通用分类标签/组织机构与社会事件/游戏作品IP类别—呈现载体
facet父节点与实体名不一致,23451,V2融合世界标签体系/通用分类标签/组织机构与社会事件/潮玩手办IP类别—传播范围
facet父节点与实体名不一致,23452,V2融合世界标签体系/通用分类标签/组织机构与社会事件/潮玩手办IP类别—呈现载体
facet父节点与实体名不一致,23453,V2融合世界标签体系/通用分类标签/组织机构与社会事件/珠宝腕表品牌类别—组织范围
facet父节点与实体名不一致,23457,V2融合世界标签体系/通用分类标签/组织机构与社会事件/珠宝腕表品牌类别—运行方式
facet父节点与实体名不一致,23458,V2融合世界标签体系/通用分类标签/组织机构与社会事件/电子竞技IP类别—传播范围
facet父节点与实体名不一致,23459,V2融合世界标签体系/通用分类标签/组织机构与社会事件/电子竞技IP类别—呈现载体
facet父节点与实体名不一致,23460,V2融合世界标签体系/通用分类标签/组织机构与社会事件/绘本角色类别—传播范围
facet父节点与实体名不一致,23461,V2融合世界标签体系/通用分类标签/组织机构与社会事件/绘本角色类别—呈现载体
facet父节点与实体名不一致,23462,V2融合世界标签体系/通用分类标签/组织机构与社会事件/网络创作者类别—传播范围
facet父节点与实体名不一致,23463,V2融合世界标签体系/通用分类标签/组织机构与社会事件/网络创作者类别—呈现载体
facet父节点与实体名不一致,23464,V2融合世界标签体系/通用分类标签/组织机构与社会事件/美妆品牌类别—组织范围
facet父节点与实体名不一致,23468,V2融合世界标签体系/通用分类标签/组织机构与社会事件/美妆品牌类别—运行方式
facet父节点与实体名不一致,23469,V2融合世界标签体系/通用分类标签/组织机构与社会事件/萌宠形象IP类别—传播范围
facet父节点与实体名不一致,23470,V2融合世界标签体系/通用分类标签/组织机构与社会事件/萌宠形象IP类别—呈现载体
facet父节点与实体名不一致,23471,V2融合世界标签体系/通用分类标签/组织机构与社会事件/著名武器IP类别—传播范围
facet父节点与实体名不一致,23472,V2融合世界标签体系/通用分类标签/组织机构与社会事件/著名武器IP类别—呈现载体
facet父节点与实体名不一致,23473,V2融合世界标签体系/通用分类标签/组织机构与社会事件/超级英雄角色类别—传播范围
facet父节点与实体名不一致,23474,V2融合世界标签体系/通用分类标签/组织机构与社会事件/超级英雄角色类别—呈现载体
facet父节点与实体名不一致,23475,V2融合世界标签体系/通用分类标签/组织机构与社会事件/软件品牌类别—组织范围
facet父节点与实体名不一致,23479,V2融合世界标签体系/通用分类标签/组织机构与社会事件/软件品牌类别—运行方式
facet父节点与实体名不一致,23480,V2融合世界标签体系/通用分类标签/组织机构与社会事件/零售电商品牌类别—组织范围
facet父节点与实体名不一致,23484,V2融合世界标签体系/通用分类标签/组织机构与社会事件/零售电商品牌类别—运行方式
facet父节点与实体名不一致,23485,V2融合世界标签体系/通用分类标签/组织机构与社会事件/音乐作品IP类别—传播范围
facet父节点与实体名不一致,23486,V2融合世界标签体系/通用分类标签/组织机构与社会事件/音乐作品IP类别—呈现载体
facet父节点与实体名不一致,23487,V2融合世界标签体系/通用分类标签/组织机构与社会事件/风景地标IP类别—传播范围
facet父节点与实体名不一致,23488,V2融合世界标签体系/通用分类标签/组织机构与社会事件/风景地标IP类别—呈现载体
facet父节点与实体名不一致,32554,V2融合世界标签体系/IP 分类标签/品牌 IP/五金工具品牌/五金工具品牌类别—组织范围
facet父节点与实体名不一致,32558,V2融合世界标签体系/IP 分类标签/品牌 IP/五金工具品牌/五金工具品牌类别—运行方式
facet父节点与实体名不一致,32583,V2融合世界标签体系/IP 分类标签/品牌 IP/医疗器械品牌/医疗器械品牌类别—组织范围
facet父节点与实体名不一致,32587,V2融合世界标签体系/IP 分类标签/品牌 IP/医疗器械品牌/医疗器械品牌类别—运行方式
facet父节点与实体名不一致,32597,V2融合世界标签体系/IP 分类标签/品牌 IP/医药保健品牌/医药保健品牌类别—组织范围
facet父节点与实体名不一致,32601,V2融合世界标签体系/IP 分类标签/品牌 IP/医药保健品牌/医药保健品牌类别—运行方式
facet父节点与实体名不一致,32624,V2融合世界标签体系/IP 分类标签/品牌 IP/家用电器品牌/家用电器品牌类别—组织范围
facet父节点与实体名不一致,32628,V2融合世界标签体系/IP 分类标签/品牌 IP/家用电器品牌/家用电器品牌类别—运行方式
facet父节点与实体名不一致,32639,V2融合世界标签体系/IP 分类标签/品牌 IP/户外装备品牌/户外装备品牌类别—组织范围
facet父节点与实体名不一致,32643,V2融合世界标签体系/IP 分类标签/品牌 IP/户外装备品牌/户外装备品牌类别—运行方式
facet父节点与实体名不一致,32657,V2融合世界标签体系/IP 分类标签/品牌 IP/手机品牌/手机品牌类别—组织范围
facet父节点与实体名不一致,32661,V2融合世界标签体系/IP 分类标签/品牌 IP/手机品牌/手机品牌类别—运行方式
facet父节点与实体名不一致,32668,V2融合世界标签体系/IP 分类标签/品牌 IP/数码 3C 品牌/影像品牌/影像品牌类别—组织范围
facet父节点与实体名不一致,32672,V2融合世界标签体系/IP 分类标签/品牌 IP/数码 3C 品牌/影像品牌/影像品牌类别—运行方式
facet父节点与实体名不一致,32680,V2融合世界标签体系/IP 分类标签/品牌 IP/数码 3C 品牌/电脑品牌/电脑品牌类别—组织范围
facet父节点与实体名不一致,32684,V2融合世界标签体系/IP 分类标签/品牌 IP/数码 3C 品牌/电脑品牌/电脑品牌类别—运行方式
facet父节点与实体名不一致,32695,V2融合世界标签体系/IP 分类标签/品牌 IP/服装品牌/服装品牌类别—组织范围
facet父节点与实体名不一致,32699,V2融合世界标签体系/IP 分类标签/品牌 IP/服装品牌/服装品牌类别—运行方式
facet父节点与实体名不一致,32710,V2融合世界标签体系/IP 分类标签/品牌 IP/母婴品牌/母婴品牌类别—组织范围
facet父节点与实体名不一致,32714,V2融合世界标签体系/IP 分类标签/品牌 IP/母婴品牌/母婴品牌类别—运行方式
facet父节点与实体名不一致,32725,V2融合世界标签体系/IP 分类标签/品牌 IP/汽车品牌/汽车品牌类别—组织范围
facet父节点与实体名不一致,32729,V2融合世界标签体系/IP 分类标签/品牌 IP/汽车品牌/汽车品牌类别—运行方式
facet父节点与实体名不一致,32738,V2融合世界标签体系/IP 分类标签/品牌 IP/箱包配饰品牌/箱包品牌/箱包品牌类别—组织范围
facet父节点与实体名不一致,32742,V2融合世界标签体系/IP 分类标签/品牌 IP/箱包配饰品牌/箱包品牌/箱包品牌类别—运行方式
facet父节点与实体名不一致,32761,V2融合世界标签体系/IP 分类标签/品牌 IP/酒店旅游品牌/酒店旅游品牌类别—组织范围
facet父节点与实体名不一致,32765,V2融合世界标签体系/IP 分类标签/品牌 IP/酒店旅游品牌/酒店旅游品牌类别—运行方式
facet父节点与实体名不一致,32775,V2融合世界标签体系/IP 分类标签/品牌 IP/金融品牌/金融品牌类别—组织范围
facet父节点与实体名不一致,32779,V2融合世界标签体系/IP 分类标签/品牌 IP/金融品牌/金融品牌类别—运行方式
facet父节点与实体名不一致,32795,V2融合世界标签体系/IP 分类标签/品牌 IP/零食饮料小吃品牌/酒类品牌/酒类品牌类别—组织范围
facet父节点与实体名不一致,32799,V2融合世界标签体系/IP 分类标签/品牌 IP/零食饮料小吃品牌/酒类品牌/酒类品牌类别—运行方式
facet父节点与实体名不一致,32804,V2融合世界标签体系/IP 分类标签/品牌 IP/零食饮料小吃品牌/饮料品牌/饮料品牌类别—组织范围
facet父节点与实体名不一致,32808,V2融合世界标签体系/IP 分类标签/品牌 IP/零食饮料小吃品牌/饮料品牌/饮料品牌类别—运行方式
facet父节点与实体名不一致,32818,V2融合世界标签体系/IP 分类标签/品牌 IP/非机动车品牌/非机动车品牌类别—组织范围
facet父节点与实体名不一致,32822,V2融合世界标签体系/IP 分类标签/品牌 IP/非机动车品牌/非机动车品牌类别—运行方式
facet父节点与实体名不一致,32834,V2融合世界标签体系/IP 分类标签/品牌 IP/餐饮品牌/餐饮品牌类别—组织范围
facet父节点与实体名不一致,32838,V2融合世界标签体系/IP 分类标签/品牌 IP/餐饮品牌/餐饮品牌类别—运行方式
facet父节点与实体名不一致,32896,V2融合世界标签体系/IP 分类标签/真人与人物 IP/企业家/企业家类别—传播范围
facet父节点与实体名不一致,32900,V2融合世界标签体系/IP 分类标签/真人与人物 IP/企业家/企业家类别—呈现载体
facet父节点与实体名不一致,32924,V2融合世界标签体系/IP 分类标签/真人与人物 IP/体育明星/体育明星类别—传播范围
facet父节点与实体名不一致,32928,V2融合世界标签体系/IP 分类标签/真人与人物 IP/体育明星/体育明星类别—呈现载体
facet父节点与实体名不一致,32989,V2融合世界标签体系/IP 分类标签/真人与人物 IP/影视明星/影视明星类别—传播范围
facet父节点与实体名不一致,32993,V2融合世界标签体系/IP 分类标签/真人与人物 IP/影视明星/影视明星类别—呈现载体
facet父节点与实体名不一致,33102,V2融合世界标签体系/IP 分类标签/真人与人物 IP/科学文化人物/科学文化人物类别—传播范围
