行号(全部出现位置),标签名,出现次数,父节点路径
76;77,储气罐,2,V2融合世界标签体系/通用分类标签/交通工具/军用交通载具/坦克
182;183,豪华游艇,2,V2融合世界标签体系/通用分类标签/交通工具/水上载具/游艇
266;268,出租马车,2,V2融合世界标签体系/通用分类标签/交通工具/畜力与传统载具/马车
646;647,交通拥堵,2,V2融合世界标签体系/通用分类标签/交通工具
654;655,全地形车,2,V2融合世界标签体系/通用分类标签/交通工具
665;666,公交车内部,2,V2融合世界标签体系/通用分类标签/交通工具
671;672,双层巴士,2,V2融合世界标签体系/通用分类标签/交通工具/公共运输/公交车
778;779,纵帆船,2,V2融合世界标签体系/通用分类标签/交通工具/容器/大型帆船
865;866,拖车,2,V2融合世界标签体系/通用分类标签/交通工具
923;924,汽车模型,2,V2融合世界标签体系/通用分类标签/交通工具
968;969,礼品卡,2,V2融合世界标签体系/通用分类标签/交通工具
977;982,航空器,2,V2融合世界标签体系/通用分类标签/交通工具
1007;1008;1009,舰队,3,V2融合世界标签体系/通用分类标签/交通工具
1072;1073,调车机车,2,V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/发动机
1122;1123,踏板车/摩托车,2,V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/踏板车
1161;1162,铁路轨道,2,V2融合世界标签体系/通用分类标签/交通工具
1192;1193,尖牙,2,V2融合世界标签体系/通用分类标签/人物与人体/五官/牙齿
1216;1225,刀,2,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂
1235;1242,导弹,2,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂
1562;1563,先生,2,V2融合世界标签体系/通用分类标签/人物与人体/性别与生理属性/男性/成年雄性
1568;1569,族长,2,V2融合世界标签体系/通用分类标签/人物与人体/性别与生理属性/男性/成年雄性
1892;1893,恐怖,2,V2融合世界标签体系/通用分类标签/人物与人体/表情/恐惧
1949;1950,主题,2,V2融合世界标签体系/通用分类标签/人物与人体
2190;2206,美国人,2,V2融合世界标签体系/通用分类标签/人物与人体/住户
2277;2278,出生,2,V2融合世界标签体系/通用分类标签/人物与人体
2308;2309,设计师,2,V2融合世界标签体系/通用分类标签/人物与人体/创造者
2315;2492,劳动者,2,V2融合世界标签体系/通用分类标签/人物与人体
2395;2397,水兵,2,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/技术工人/军事人员群体
2498;2501,区域,2,V2融合世界标签体系/通用分类标签/人物与人体
2623;2624,腿,2,V2融合世界标签体系/通用分类标签/人物与人体/外部身体部位/成员/翼
2659;2661,大人物,2,V2融合世界标签体系/通用分类标签/人物与人体/大人/有影响力的人
2778;2779,抗议者,2,V2融合世界标签体系/通用分类标签/人物与人体
2862;2865,骑乘者,2,V2融合世界标签体系/通用分类标签/人物与人体/旅行者
2934;2935,洛基,2,V2融合世界标签体系/通用分类标签/人物与人体
3065;3066,贝斯手,2,V2融合世界标签体系/通用分类标签/人物与人体/表演者/表演者/乐器演奏者
3076;3077,戏剧演员,2,V2融合世界标签体系/通用分类标签/人物与人体/表演者/表演者
3088;3089,电视演员,2,V2融合世界标签体系/通用分类标签/人物与人体/表演者/表演者
3113;3115,商人,2,V2融合世界标签体系/通用分类标签/人物与人体/资本家/商业人士
3241;3242,木琴,2,V2融合世界标签体系/通用分类标签/人造物体/中西乐器/打击乐器
3277;3283,管子,2,V2融合世界标签体系/通用分类标签/人造物体/中西乐器/管乐器
3331;3342,别针,2,V2融合世界标签体系/通用分类标签/人造物体/五金工具/紧固件
3354;3357,扣子,2,V2融合世界标签体系/通用分类标签/人造物体/五金工具/紧固件
4350;4351,纸杯,2,V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/餐具/陶瓷餐具/杯
4366;4367,搅拌碗,2,V2融合世界标签体系/通用分类标签/人造物体/厨房餐厨用品/餐具/陶瓷餐具/盘/碗
5109;5110,咖啡机,2,V2融合世界标签体系/通用分类标签/人造物体/家用电器/厨房用具/咖啡壶
