标签名,出现次数,位置(行号:路径)
屏幕,7,9738:V2融合世界标签体系/通用分类标签/人造物体/电子器件/指示器/屏幕 || 10008:V2融合世界标签体系/通用分类标签/人造物体/表面/屏幕 || 10152:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/屏幕 || 10257:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/屏幕 || 10400:V2融合世界标签体系/通用分类标签/人造物体/过滤器/滤网/屏幕 || 16355:V2融合世界标签体系/通用分类标签/建筑与基础设施/分隔物/屏幕 || 17020:V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/屏障/可移动屏障/门/屏幕
木材,7,2963:V2融合世界标签体系/通用分类标签/人造物体/中西乐器/管乐器/木材 || 6948:V2融合世界标签体系/通用分类标签/人造物体/体育器材/棒球器材/木材 || 6963:V2融合世界标签体系/通用分类标签/人造物体/体育器材/高尔夫器材/俱乐部/木材 || 7845:V2融合世界标签体系/通用分类标签/人造物体/器具/木条/俱乐部/板球棒/木材 || 8836:V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/垂直方向/柱子/木材 || 8853:V2融合世界标签体系/通用分类标签/人造物体/支持/结构构件/栋梁/木材 || 28272:V2融合世界标签体系/通用分类标签/声音/事物声音/木材
壳,6,250:V2融合世界标签体系/通用分类标签/交通工具/水上载具/小船/竞赛艇/壳 || 10115:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/住房/壳 || 10189:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/盾牌/壳 || 22787:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/壳 || 22790:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/容器盒/壳 || 30762:V2融合世界标签体系/IP 分类标签/地标与武器 IP/武器/军火/壳
水龙头,6,7987:V2融合世界标签体系/通用分类标签/人造物体/固定物/卫生洁具/水龙头 || 8923:V2融合世界标签体系/通用分类标签/人造物体/机制/控制/调节器/水龙头 || 10506:V2融合世界标签体系/通用分类标签/人造物体/道路/通道/导管/管/滚边/排放管/水龙头 || 16983:V2融合世界标签体系/通用分类标签/建筑与基础设施/辎重/堵塞/塞子/水龙头 || 28259:V2融合世界标签体系/通用分类标签/声音/事物声音/家庭声音/水龙头 || 28658:V2融合世界标签体系/通用分类标签/声音/来源不明声音/通用撞击声/水龙头
乐队,5,6574:V2融合世界标签体系/通用分类标签/人造物体/箱包首饰/珠宝首饰/乐队 || 9182:V2融合世界标签体系/通用分类标签/人造物体/条带/乐队 || 9527:V2融合世界标签体系/通用分类标签/人造物体/点缀/装饰/乐队 || 9896:V2融合世界标签体系/通用分类标签/人造物体/约束/乐队 || 21998:V2融合世界标签体系/通用分类标签/组织机构与社会事件/音乐组织/乐团/乐队
信封,5,3155:V2融合世界标签体系/通用分类标签/人造物体/办公文具/信封 || 8122:V2融合世界标签体系/通用分类标签/人造物体/容器/信封 || 8134:V2融合世界标签体系/通用分类标签/人造物体/容器/包/信封 || 10216:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/包装/信封 || 22783:V2融合世界标签体系/通用分类标签/自然景观/天然覆盖物/信封
千斤顶,5,9392:V2融合世界标签体系/通用分类标签/人造物体/游戏器材/球/千斤顶 || 9664:V2融合世界标签体系/通用分类标签/人造物体/电力设备/千斤顶 || 12343:V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/鲹/千斤顶 || 27536:V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/千斤顶 || 29511:V2融合世界标签体系/通用分类标签/时间数量与度量/不定量/少量/千斤顶
大豆,5,19349:V2融合世界标签体系/通用分类标签/植物/农作物/大豆 || 21105:V2融合世界标签体系/通用分类标签/植物/草本植物/豆科植物/大豆 || 23001:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/种子/豆/大豆 || 26766:V2融合世界标签体系/通用分类标签/食物/调味品/大豆 || 27511:V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/蚕豆/大豆
头部,5,1188:V2融合世界标签体系/通用分类标签/人物与人体/人体部位/头部 || 1859:V2融合世界标签体系/通用分类标签/人物与人体/会长/头部 || 8600:V2融合世界标签体系/通用分类标签/人造物体/扁平立体/膜/头部 || 14024:V2融合世界标签体系/通用分类标签/动物/家养动物/头部 || 16683:V2融合世界标签体系/通用分类标签/建筑与基础设施/投影/头部
玉米,5,19493:V2融合世界标签体系/通用分类标签/植物/农作物/玉米 || 19840:V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/牧草/谷类禾草/玉米 || 22997:V2融合世界标签体系/通用分类标签/自然景观/植物结构/植物器官/生殖结构/果子/种子/谷物/种仁/玉米 || 27843:V2融合世界标签体系/通用分类标签/食物/致醉物/烈性酒/威士忌/玉米 || 28105:V2融合世界标签体系/通用分类标签/食物/食品/谷物/玉米
跑道,5,10055:V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/平台/跑道 || 10066:V2融合世界标签体系/通用分类标签/人造物体/表面/水平仪/铺装表面/跑道 || 10096:V2融合世界标签体系/通用分类标签/人造物体/装置/球场/跑道 || 10374:V2融合世界标签体系/通用分类标签/人造物体/跑道 || 16201:V2融合世界标签体系/通用分类标签/建筑与基础设施/路桥隧道工程/公路/跑道
一股烟气,4,4726:V2融合世界标签体系/通用分类标签/人造物体/家居软装小件/床上用品/一股烟气 || 8024:V2融合世界标签体系/通用分类标签/人造物体/坐椅/一股烟气 || 25159:V2融合世界标签体系/通用分类标签/行为动作/气流/阵风/一股烟气 || 27730:V2融合世界标签体系/通用分类标签/食物/烘焙食品/糕点/一股烟气
亚麻,4,7271:V2融合世界标签体系/通用分类标签/人造物体/台布/亚麻 || 19286:V2融合世界标签体系/通用分类标签/植物/农作物/亚麻 || 20783:V2融合世界标签体系/通用分类标签/植物/草本植物/亚麻 || 29913:V2融合世界标签体系/通用分类标签/材料与物质/植物材料/植物产品/植物纤维/亚麻
伪装,4,7280:V2融合世界标签体系/通用分类标签/人造物体/台布/伪装 || 7496:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/伪装 || 10258:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/屏幕/伪装 || 29140:V2融合世界标签体系/通用分类标签/属性与状态/外表/表象/伪装
俱乐部,4,6962:V2融合世界标签体系/通用分类标签/人造物体/体育器材/高尔夫器材/俱乐部 || 7842:V2融合世界标签体系/通用分类标签/人造物体/器具/木条/俱乐部 || 16806:V2融合世界标签体系/通用分类标签/建筑与基础设施/机构/商业机构/斑点/俱乐部 || 21933:V2融合世界标签体系/通用分类标签/组织机构与社会事件/协会/俱乐部
兜帽,4,2368:V2融合世界标签体系/通用分类标签/人物与人体/坏人/作恶者/校长/犯人/兜帽 || 7439:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/兜帽 || 10123:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/保护/兜帽 || 10212:V2融合世界标签体系/通用分类标签/人造物体/覆盖物/兜帽
公寓,4,15027:V2融合世界标签体系/通用分类标签/场景/自然户外场景/田野/公寓 || 16279:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/公寓 || 16315:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/公寓 || 16316:V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/公寓
公鸡,4,2343:V2融合世界标签体系/通用分类标签/人物与人体/器官/勃起器官/阴茎/公鸡 || 13031:V2融合世界标签体系/通用分类标签/动物/鸟类/家禽/公鸡 || 13036:V2融合世界标签体系/通用分类标签/动物/鸟类/家禽/原鸡/公鸡 || 13536:V2融合世界标签体系/通用分类标签/动物/鸟类/公鸡
发动机,4,992:V2融合世界标签体系/通用分类标签/交通工具/轮式车辆/自行式车辆/发动机 || 6794:V2融合世界标签体系/通用分类标签/人造物体/乐器/器械/发动机 || 9113:V2融合世界标签体系/通用分类标签/人造物体/机器/发动机 || 28434:V2融合世界标签体系/通用分类标签/声音/发动机
囊地鼠,4,2017:V2融合世界标签体系/通用分类标签/人物与人体/住户/美国人/囊地鼠 || 10830:V2融合世界标签体系/通用分类标签/动物/哺乳动物/啮齿动物/家鼠/囊鼠/囊地鼠 || 10837:V2融合世界标签体系/通用分类标签/动物/哺乳动物/啮齿动物/松鼠/囊地鼠 || 12829:V2融合世界标签体系/通用分类标签/动物/爬行动物/龟鳖类/乌龟/陆龟/囊地鼠
围巾,4,5823:V2融合世界标签体系/通用分类标签/人造物体/服饰全品/围巾 || 7468:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/女服/围巾 || 7573:V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/围巾 || 10409:V2融合世界标签体系/通用分类标签/人造物体/连接/交汇处/关节/围巾
垃圾,4,779:V2融合世界标签体系/通用分类标签/交通工具/垃圾 || 8421:V2融合世界标签体系/通用分类标签/人造物体/容器/垃圾 || 14393:V2融合世界标签体系/通用分类标签/动物/生物类群/动物组/垃圾 || 29852:V2融合世界标签体系/通用分类标签/材料与物质/垃圾
