类型,标签名,出现行号
量词/数字节点,一把夹钳,6688
量词/数字节点,一块布,7228
量词/数字节点,一把剪刀,7902
量词/数字节点,一把手钳,7908
量词/数字节点,一块地板,8576
量词/数字节点,一把钳子,8609
量词/数字节点,一件,9374
量词/数字节点,二十二,10647
量词/数字节点,一把抓,20746
量词/数字节点,一双,24288
量词/数字节点,一条面包,26170
量词/数字节点,七十八,28503
量词/数字节点,一对,29480
量词/数字节点,一个星期,29575
量词/数字节点,一块土地,30022
量词/数字节点,一块地,30023
形容词条目,下阵雨的,28981
形容词条目,不一样的,28982
形容词条目,不同的,28986
形容词条目,不愉快的,28988
形容词条目,不松动的,28989
形容词条目,不清晰的,28990
形容词条目,专业的,28994
形容词条目,专科院校的,30966
形容词条目,中世纪的,29004
形容词条目,中空的,22725
形容词条目,丰富多彩的,29007
形容词条目,乌色的,29008
形容词条目,乡下的,29009
形容词条目,乡土的,29010
形容词条目,乡村风格的,2493
形容词条目,五彩缤纷的,29016
形容词条目,产业的,29017
形容词条目,仅仅的,29039
形容词条目,令人惊叹的,29040
形容词条目,传统的,29046
形容词条目,体育的,29048
形容词条目,健壮的,29051
形容词条目,僵硬的,22712
形容词条目,充足的,29053
形容词条目,光秃的,29054
形容词条目,全景的,29055
形容词条目,共同的,29546
形容词条目,具龙骨突的,13538
形容词条目,冰冷的,29063
形容词条目,几个的,29557
形容词条目,医学的,29071
形容词条目,华丽的,29072
形容词条目,印欧语系的,18554
形容词条目,历史的,29074
形容词条目,厚的,29075
形容词条目,双目的,29078
形容词条目,发怒的,29079
形容词条目,古代的,2434
形容词条目,古老的,29080
形容词条目,可爱的,2134;29082
形容词条目,可转换的,29083
形容词条目,含糊的,29085
形容词条目,善于交际的,24302
形容词条目,国家的,2354
形容词条目,在水下的,29119
形容词条目,地理学的,30123
形容词条目,地理的,29121
形容词条目,坏的,29122
形容词条目,坚固的,29124
形容词条目,基础的,7419
形容词条目,外面的,29148
形容词条目,多岩石的,29152
形容词条目,多雨的,22752
形容词条目,多雪的,29154
形容词条目,多雾的,29155
形容词条目,大的,29628
形容词条目,天蓝色的,29164
形容词条目,太阳的,29165
形容词条目,好看的,29168
形容词条目,宗教的,29169
形容词条目,室外的,15463
形容词条目,害怕的,29170
形容词条目,家用的,2111
形容词条目,宽的,29171
形容词条目,寒冷的,27503
形容词条目,小的,29512
形容词条目,尼格罗人种的,2486
形容词条目,巨大的,29177
形容词条目,常绿的,20149
形容词条目,干燥的,1773
形容词条目,干的,29877
形容词条目,平静的,29185
形容词条目,幸福的,29186
形容词条目,开放的,29189
形容词条目,弄脏的,29191
形容词条目,弯曲的,30294
形容词条目,径直的,29265
形容词条目,微湿的,29266
形容词条目,微黄色的,29267
形容词条目,忧郁的,13041
形容词条目,恋爱的,29269
形容词条目,悲伤的,29270
形容词条目,扁平的,12384
形容词条目,抽出鞘的,29285
形容词条目,拥挤的,29286
形容词条目,政治的,17543
形容词条目,断了的,29290
形容词条目,新娘的,14559
形容词条目,新生的,29292
形容词条目,新的,29291
形容词条目,无家可归的,1744
形容词条目,无线的,8107
形容词条目,无肩带的,7477
形容词条目,日耳曼的,18559
形容词条目,时髦的,29310
形容词条目,明亮的,29312
形容词条目,晴朗的,22859
形容词条目,暴风雨的,22861
形容词条目,有保护能力的,29800
形容词条目,有光泽的,17242
形容词条目,有条纹的,29314
形容词条目,有某种毛发的,29315
形容词条目,有甜味的,29316
形容词条目,有纹理的,18473
形容词条目,有胎盘的,11329
形容词条目,有趣的,29317
形容词条目,有限的,738
形容词条目,有雾的,29318
形容词条目,有风的,29319
形容词条目,木的,29320
形容词条目,机动的,856
形容词条目,权威的,29321
形容词条目,极小的,29163
形容词条目,染色的,29326
形容词条目,武术性的,30951
形容词条目,武装的,2652
形容词条目,死亡的,2653
形容词条目,气温高的,29329
形容词条目,水晶的,29330
形容词条目,汽车的,871
形容词条目,沙质的,29331
形容词条目,沿岸的,29332
形容词条目,沿海的,29333
形容词条目,活的,29341
形容词条目,浅紫色的,29342
形容词条目,浪漫的,2724
形容词条目,深褐色的,29345
形容词条目,混合的,29346
形容词条目,灰白的,30217
形容词条目,热带的,29351
形容词条目,特别的,27308
形容词条目,狭窄的,29358
形容词条目,王室的,29359
形容词条目,现代的,2692
形容词条目,生物学的,29363
形容词条目,生物的,29362
形容词条目,生疏的,29364
形容词条目,生锈的,29365
形容词条目,短的,29367
形容词条目,破损的,908
形容词条目,秃头的,29368
形容词条目,稳定的,29370
形容词条目,细的,29396
形容词条目,经验丰富的,29397
形容词条目,结霜的,29399
形容词条目,脆的,28157
形容词条目,自然的,2520
形容词条目,花的,20722
形容词条目,苦味的,27939
形容词条目,英俊的,29405
形容词条目,赤膊的,29408
形容词条目,赤道的,6834
形容词条目,郁郁葱葱的,29452
形容词条目,金属质的,7389
形容词条目,金的,29453
形容词条目,锋利的,30017
形容词条目,长的,29454
形容词条目,防水的,7391;7611
形容词条目,青少年的,29457
形容词条目,高的,29459
形容词条目,黑暗的,29462
形容词条目,黑白杂色的,7400
形容词条目,黑白的,29463
